Plot ID,Location,Treatment,Replicate,Date of burial,"Initial weight green tea including bag, cord and label","Initial weight rooibos tea including bag, cord, and label",Initial weight green tea tea only,Initial weight rooibos tea tea only,Recovery date,"Final weight green tea including bag and cord, no label","Final weight rooibos tea including bag and cord, no label",Final weight green tea tea only,Final weight rooibos tea tea only,Fraction decomposed green tea (ag),Prooibosicted labile fraction rooibos tea (ar), Fraction remaining      rooibos tea (Wt),incubation time      rooibos and green tea (t),S,k
,,,,,,,,,,,,,,,,,,,
1,Elliott.us,P,1,42707,2.062,2.176,1.8122,1.9262,42788,0.96585,1.363,0.81525,1.2124,0.550132436,0.360656894,0.629425812,81,0.346636062,
,,,,,,,,,,,,,,,,,,,
1,Elliott.us,P,2,42707,2.081,2.179,1.8312,1.9292,42788,0.89504,1.48756,0.74444,1.33696,0.593468764,0.389067408,0.693012648,81,0.295167739,0.019210587
,,,,,,,,,,,,,,,,,,,
2,Elliott.us,PK,1,42707,2.036,2.18,1.7862,1.9302,42788,0.88127,1.5215,0.73067,1.3709,0.590936065,0.387407017,0.710237281,81,0.298175694,0.017014131
,,,,,,,,,,,,,,,,,,,
2,Elliott.us,PK,2,42707,1.949,2.191,1.6992,1.9412,42788,0.89311,1.5246,0.74251,1.374,0.563023776,0.369108224,0.707809602,81,0.331325682,0.019362373
,,,,,,,,,,,,,,,,,,,
3,Elliott.us,N,1,42707,2.017,2.214,1.7672,1.9642,42788,0.862,1.36313,0.7114,1.21253,0.597442282,0.391672375,0.617314937,81,0.290448597,0.046600147
,,,,,,,,,,,,,,,,,,,
3,Elliott.us,N,2,42707,,2.192,,1.9422,42788,,1.376,,1.2254,,,,,,
,,,,,,,,,,,,,,,,,,,
4,Elliott.us,fence,1,42707,,,,,42788,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
4,Elliott.us,fence,2,42707,,,,,42788,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
5,Elliott.us,NK,1,42707,2.054,2.26,1.8042,2.0102,42788,0.67634,1.4449,0.52574,1.2943,0.708602151,0.464546778,0.643866282,81,0.15842975,0.017964367
,,,,,,,,,,,,,,,,,,,
5,Elliott.us,NK,2,42707,2.005,2.184,1.7552,1.9342,42788,0.5315,1.4488,0.3809,1.2982,0.782987694,0.513312597,0.671181884,81,0.070085874,0.012632907
,,,,,,,,,,,,,,,,,,,
6,Elliott.us,Control,1,42707,2.12,2.178,1.8702,1.9282,42788,0.656,1.41475,0.5054,1.26415,0.729761523,0.478418481,0.655611451,81,0.133299854,0.015708922
,,,,,,,,,,,,,,,,,,,
6,Elliott.us,Control,2,42707,2.08,2.204,1.8302,1.9542,42788,0.90369,1.49172,0.75309,1.34112,0.58852038,0.385823337,0.686275714,81,0.301044679,0.020707885
,,,,,,,,,,,,,,,,,,,
7,Elliott.us,fence,1,42707,,,,,42788,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
7,Elliott.us,fence,2,42707,,,,,42788,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
8,Elliott.us,NP,1,42707,2.036,2.182,1.7862,1.9322,42788,0.8779,1.45754,0.7273,1.30694,0.592822752,0.388643895,0.676399959,81,0.295934974,0.022069158
,,,,,,,,,,,,,,,,,,,
8,Elliott.us,NP,2,42707,2.099,2.179,1.8492,1.9292,42788,0.95565,1.443,0.80505,1.2924,0.564649578,0.37017407,0.669914991,81,0.3293948,0.027442838
,,,,,,,,,,,,,,,,,,,
