Height ,Total_leaves,Good_leaves,Decent_leaves,Bad_leaves,Intact_berries,Leaf_Index
24,8,2,4,2,0,4.64
34,9,3,3,3,42,4.98
46,14,6,3,5,0,7.98
49,15,6,3,6,2,7.98
50,11,4,4,3,1,6.64
52,13,6,2,5,0,7.32
52,14,5,7,2,10,9.62
52,14,3,3,8,0,4.98
52,13,5,4,4,2,7.64
56,11,5,2,4,0,6.32
56.5,11,2,3,6,0,3.98
57,13,3,5,5,39,6.3
57,14,2,12,0,14,9.92
61,17,3,2,12,16,4.32
62,16,6,8,2,3,11.28
64,16,5,4,7,6,7.64
64,9,1,7,1,16,5.62
66,16,6,8,2,16,11.28
68,16,2,4,10,17,4.64
68,16,8,2,6,0,9.32
68,12,3,5,4,34,6.3
69,18,3,3,12,17,4.98
70,14,6,8,0,15,11.28
71,19,15,3,1,47,16.98
71,17,6,3,8,18,7.98
72,14,2,1,11,40,2.66
72,10,2,3,5,26,3.98
74,13,3,4,6,11,5.64
74,14,6,7,1,12,10.62
74,14,6,4,4,90,8.64
75,18,9,4,5,35,11.64
75,16,4,5,7,145,7.3
75,13,5,6,2,11,8.96
76,17,8,2,7,36,9.32
76,16,2,7,7,3,6.62
76,14,4,5,5,22,7.3
76,18,6,6,6,6,9.96
79,16,9,3,4,35,10.98
79,17,4,5,8,72,7.3
79,19,6,3,10,7,7.98
80,16,10,5,1,26,13.3
80,19,9,3,7,18,10.98
82,19,6,8,5,1,11.28
83,15,5,8,2,10,10.28
84,14,6,2,6,7,7.32
85,16,2,5,9,29,5.3
85,14,4,7,3,30,8.62
86,15,8,6,1,1,11.96
86,16,2,6,8,20,5.96
88,14,0,5,9,34,3.3
91,15,7,4,4,26,9.64
92,16,11,3,2,15,12.98
93,10,7,3,0,8,8.98
94,14,5,3,6,15,6.98
96,18,3,9,6,58,8.94
96,15,6,6,3,22,9.96
96,13,4,7,2,8,8.62
96,13,4,1,8,92,4.66
97,15,4,5,6,5,7.3
97,15,4,5,6,23,7.3
98,12,4,4,4,10,6.64
101,14,1,10,3,14,7.6
101,11,11,0,0,7,11
101,12,4,2,6,9,5.32
103,14,3,6,5,18,6.96
104,10,4,3,3,26,5.98
109,11,2,5,4,10,5.3
109,17,9,1,7,82,9.66
109,27,11,8,8,69,16.28
110,17,9,3,5,141,10.98
111,13,5,2,6,56,6.32
112,13,3,5,5,106,6.3
113,6,2,1,3,6,2.66
113,12,4,2,6,23,5.32
115,21,5,9,7,126,10.94
116,12,4,8,0,28,9.28
116,14,2,7,5,58,6.62
117,16,6,4,6,15,8.64
117,22,8,4,10,140,10.64
118,10,2,3,5,23,3.98
119,15,6,3,6,22,7.98
119,14,5,4,5,92,7.64
123,14,9,4,1,16,11.64
125,14,5,6,3,47,8.96
125,12,6,5,1,19,9.3
128,15,6,2,7,1,7.32
130,15,8,2,5,15,9.32
132,18,2,6,10,74,5.96
132,16,1,9,6,78,6.94
134,6,1,4,1,28,3.64
134,14,6,2,6,33,7.32
135,14,6,8,0,54,11.28
135,14,4,4,6,78,6.64
136,14,7,5,2,87,10.3
137,12,10,1,1,9,10.66
138,15,8,3,4,66,9.98
139,18,3,8,7,57,8.28
145,14,4,7,3,83,8.62
146,9,3,3,3,57,4.98
157,11,5,1,5,23,5.66
157,21,9,10,2,82,15.6
160,11,8,0,3,81,8
168,16,2,8,6,35,7.28
178,13,4,7,2,29,8.62
178,20,9,7,4,110,13.62
189,12,11,1,0,64,11.66
210,13,2,3,8,123,3.98
